question_id,question,category,reference_answer,evidence_doc,evidence_page,evidence_text,answerable,notes,quality_flags
Q001,What office hours are stated for Federal Budgeting Process in Spring 2023?,factual_extraction,Office hours are by appointment.,1. Syllabus 2023.txt,1,"Federal Budgeting Process - Spring 2023 February 7-March 7, Tuesday 6:00 - 8:00 pm <PROF_FIRST_NAME> <PROF_LAST_NAME> <PROF_EMAIL> Office Hours: By appointment Course Overview Understanding the budget process is important for any federal employee and anyone who works for an entity that interacts with the federal government such as NGOs, state governments, consultancies, and the private sector.",yes,auto factual question about office hours,
Q002,What penalty is stated for more than two unexcused absences in 1. Syllabus 2023?,factual_extraction,More than two unexcused absences will result in a drop of at least one letter grade.,1. Syllabus 2023.txt,1,More than two unexcused absences will result in a drop of at least one letter grade.,yes,auto factual question about grading,
Q003,When are absences excused in 1. Syllabus 2023?,factual_extraction,"Absences are excused if they are supported by an appropriate document, such as documentation from the dean or a doctor.",1. Syllabus 2023.txt,1,"Absences are excused if supported by an appropriate document (i.e., from the dean or doctor).",yes,auto factual question about attendance,
Q004,What penalty is stated for late assignments in 1. Syllabus 2023?,factual_extraction,"Assignments must be turned in on the due date; otherwise, students are subject to a drop of at least one letter grade per day.",1. Syllabus 2023.txt,1,"Assignments are to be turned in promptly on the date they are due, or students will be subject to a drop of at least one letter grade per day.",yes,auto factual question about grading,
Q005,What grade consequence is stated for academic dishonesty in 1. Syllabus 2023?,factual_extraction,Academic dishonesty in any form will not be tolerated and will result in a grade of zero.,1. Syllabus 2023.txt,1,Academic dishonesty in any form will not be tolerated and will result in a grade of zero.,yes,auto factual question about grading,
Q006,What is the final presentation requirement in 1. Syllabus 2023?,factual_extraction,Each student will make a final presentation on an agency's FY 2024 budget proposal.,1. Syllabus 2023.txt,1,Final presentation: Each student will make a presentation on an agency's FY 2024 budget proposal.,yes,auto factual question about exams,
Q007,How is the assessment divided in 1. Syllabus 2023?,factual_extraction,"The assessment consists of one-page memos worth 30%, the final presentation worth 30%, and overall class participation worth 40%.",1. Syllabus 2023.txt,1,Assessment: One-page memos 30% Final presentation 30% Overall class participation 40% Course Outline Note that the schedule,yes,auto factual question about grading,
Q008,What assignment is due on February 11 in 1. Syllabus 2023?,factual_extraction,The February 11 assignment is a one-page memo comparing an agency's FY 2021 budget for a specific program with the program's FY 2022 budget.,1. Syllabus 2023.txt,1,Assignment due February 11: Write a one-page memo comparing an agency's FY 2021 budget for a specific program and the program's FY 2022 budget.,yes,auto factual question about deadline or submission,
Q009,What assignment is due on February 18 in 1. Syllabus 2023?,factual_extraction,The February 18 assignment is a one-page memo comparing the President's FY 2023 budget request for a specific program within an agency to the program's FY 2022 budget.,1. Syllabus 2023.txt,1,"Assignment due February 18: Write a one-page memo comparing the President's FY 2023 budget request for a specific program within an agency, to the program's FY 2022 budget.",yes,auto factual question about deadline or submission,
Q010,What topic is scheduled for February 21 in 1. Syllabus 2023?,factual_extraction,"The February 21 topic covers budget preparation, the President's budget, budget execution, and the agency budget formulation process.",1. Syllabus 2023.txt,1,"February 21: Budget preparation and the President's budget, and budget execution An examination of the agency budget formulation process, including OMB's review of agency requests and the formulation of the president's budget.",yes,auto factual question about exams,
Q011,What budget is examined in 1. Syllabus 2023?,factual_extraction,The syllabus states that students examine the President's FY 2023 budget.,1. Syllabus 2023.txt,1,An examination of the President's FY 2023 budget.,yes,auto factual question about exams,
Q012,What office hours information is stated in 101-f22-syll?,factual_extraction,"The instructor's office hours are Wednesday 12:00-1:00 and by email. Teaching assistants also list office hours, including Friday 8:00-10:00, Monday/Wednesday 2:30-3:30, and Thursday 2:00-4:00.",101-f22-syll.txt,1,"LINGUIST 101 (49624) People and Their Language MW 1.25-2.15, Morrill Science (II), Room 131 Sections: F 10.10-11.00 (AF), 11.15-12.05 (AD), 12.20-1.10 (AC, AE), 1.25-2.15 (AA,AB) Fall 2022 <PROF_FULL_NAME> N418 Integrative Learning Center Office Hours: W 12-1 and by email <PROF_EMAIL> Teaching Assistants <TA_FULL_NAME> (<TA_EMAIL>) ILC N421H, Office Hours: F 8-10 Sections: AF 10.10-11.00 (ILC S231), AA 1.25-2.15 (Hasbrouck Lab Add 104B) <TA_FULL_NAME> (<TA_EMAIL>) ILC N431G, Office Hours: MW 2.3",yes,auto factual question about office hours,
Q013,What topic related to dialect prejudice is stated in 101-f22-syll?,factual_extraction,The course states that it will closely examine the pernicious effects of dialect prejudice.,101-f22-syll.txt,1,We will closely examine the pernicious effects of dialect prejudice.,yes,auto factual question about exams,
Q014,What file format is required for assignments in 101-f22-syll?,factual_extraction,All assignments must be submitted in PDF format unless otherwise indicated.,101-f22-syll.txt,1,All assignments must be submitted in pdf format unless otherwise indicated.,yes,auto factual question about deadline or submission,
Q015,When and where are lectures held in 101-f22-syll?,factual_extraction,"Lectures are held on Monday and Wednesday from 1:25 to 2:15 in Morrill Science II, Room 131.",101-f22-syll.txt,1,"Lectures, Discussion Sections and Attendance: I will lecture on MW 1.25-2.15 in Morrill Science (II), Room 131.",yes,auto factual question about attendance,
Q016,Why should students attend discussion sections in 101-f22-syll?,factual_extraction,"Students should attend discussion sections because they will do group problem solving and mini-assignments there, which constitute a sizeable part of the grade.",101-f22-syll.txt,1,Discussion sections are on Friday (check Spire to see the time/ location of your section) and you should make sure to attend these as you will be doing group problem solving and mini-assignments which will constitute a size-able chunk of your grade.,yes,auto factual question about grading,
Q017,What should a student do if they are absent from discussion in 101-f22-syll?,factual_extraction,The student should let the TA know; the syllabus states that the student will not be penalized and the TA will make an accommodation.,101-f22-syll.txt,1,You will not be penalized for your absence - just let your TA know and they will make an accommodation for you.,yes,auto factual question about attendance,
Q018,How much of the course grade is made up by homework assignments in 101-f22-syll?,factual_extraction,Homework assignments make up 50% of the course grade.,101-f22-syll.txt,1,"Homework Assignments (10*5=50%): This is a big chunk of the course grade, so just one missing assignment could lower your grade considerably!",yes,auto factual question about grading,
Q019,How must assignments be submitted in 101-f22-syll?,factual_extraction,Assignments must be typed and submitted electronically via Moodle in PDF format unless otherwise indicated.,101-f22-syll.txt,1,All assignments must be typed and submitted electronically via Moodle in pdf format unless indicated otherwise.,yes,auto factual question about deadline or submission,
Q020,Where will assignment due dates be provided in 101-f22-syll?,factual_extraction,Due dates will be given in the instructions for assignments.,101-f22-syll.txt,1,Due dates will be given in the instructions for assignments.,yes,auto factual question about deadline or submission,
Q021,Which budget-related resources are listed in 1. Syllabus 2023?,rule_understanding,"The syllabus lists resources such as the Office of Management and Budget, the Congressional Budget Office, Congressional legislation information, past President budget proposals, and budget-related government resources.",1. Syllabus 2023.txt,1,These include: Office of Management and Budget (OMB) http://www.whitehouse.gov/omb/ Congressional Budget Office http://www.cbo.gov/ Congressional Legislation Information https://www.congress.gov/ Past President Budget Proposals http://www.gpo.gov/fdsys/browse/collectionGPO.action?collectionCode=BUDGET Online centralized performance reporting portal required by the Government Performance and Results Act (GPRA) Modernization Act Federal Government Performance Glossary Terms Used in the Federal Bud,yes,auto rule-understanding question,
Q022,What rule applies to academic dishonesty in 1. Syllabus 2023?,rule_understanding,Academic dishonesty in any form will not be tolerated and will result in a grade of zero.,1. Syllabus 2023.txt,1,Academic dishonesty in any form will not be tolerated and will result in a grade of zero.,yes,auto rule-understanding question,
Q023,What class participation rule is stated in 1. Syllabus 2023?,rule_understanding,Students must be prepared to actively participate during class.,1. Syllabus 2023.txt,1,Class participation: Students must be prepared to actively participate during class.,yes,auto rule-understanding question,
Q024,What assignment format rule is stated in 101-f22-syll?,rule_understanding,All assignments must be submitted in PDF format unless otherwise indicated.,101-f22-syll.txt,1,All assignments must be submitted in pdf format unless otherwise indicated.,yes,auto rule-understanding question,
Q025,Where will required class materials be posted in 101-f22-syll?,rule_understanding,"All class materials, including required readings, will be posted on Moodle.",101-f22-syll.txt,1,"All class materials, including required readings, will be posted on Moodle.",yes,auto rule-understanding question,
Q026,What does 101-f22-syll say about critical thought?,rule_understanding,Critical thought is required in all areas of the course.,101-f22-syll.txt,1,Critical thought is required in all areas of the course.,yes,auto rule-understanding question,
Q027,What electronic submission rule is stated in 101-f22-syll?,rule_understanding,Assignments must be typed and submitted electronically via Moodle in PDF format unless otherwise indicated.,101-f22-syll.txt,1,All assignments must be typed and submitted electronically via Moodle in pdf format unless indicated otherwise.,yes,auto rule-understanding question,
Q028,What academic dishonesty policy is stated in 101-f22-syll?,rule_understanding,"Students should become familiar with the university policy on academic dishonesty, including plagiarism, copying someone else's responses, and allowing others to copy their work.",101-f22-syll.txt,1,"68-67: D+ 66-59: D 58-0: F Course Policy on Academic Dishonesty: You should become familiar with the University of Massachusetts policy concerning academic dishonesty (if you have not already read the information), which includes a statement about plagiarism: http://www.umass.edu/honestyFor this course, plagiarism, copying someone else's responses to any assignments, projects, and exams, and allowing others to copy your work are considered academic dishonesty, for which ap.propriate action will",yes,auto rule-understanding question,
Q029,How does 101-f22-syll briefly define plagiarism?,rule_understanding,Plagiarism refers to passing off someone else's work as your own.,101-f22-syll.txt,1,"In brief, plagiarism refers to passing off someone else's work as your own.",yes,auto rule-understanding question,
Q030,What forms of copying are considered academic dishonesty in 101-f22-syll?,rule_understanding,"Copying someone else's responses to assignments, projects, or exams, and allowing others to copy your work, are considered academic dishonesty.",101-f22-syll.txt,1,"not already read the information), which includes a statement about plagiarism: http://www.umass.edu/honestyFor this course, plagiarism, copying someone else's responses to any assignments, projects, and exams, and allowing others to copy your work are considered academic dishonesty, for which ap.propriate action will be taken.",yes,auto rule-understanding question,
Q031,Is the book required in 130 syllabus 2 S 2023?,rule_understanding,"No. The book is recommended but not required, and it is available as an eText.",130 syllabus_2 S 2023.txt,1,The book is recommended but not required and is available as an etext.,yes,auto rule-understanding question,
Q032,What designation requirement is stated for Nutrition 130 in 130 syllabus 2 S 2023?,rule_understanding,Nutrition 130 must meet certain criteria to meet the BS designation.,130 syllabus_2 S 2023.txt,1,Nutrition 130 must meet certain criteria to meet the BS designation.,yes,auto rule-understanding question,
Q033,What grading components are listed for Nutrition 130 in 130 syllabus 2 S 2023?,rule_understanding,"The listed grading components include four exams worth 36%, lecture iClicker questions worth 12%, in-class writing worth 8%, discussion attendance and participation worth 10%, and several homework or activity assignments.",130 syllabus_2 S 2023.txt,1,o Absences or exam make up requests Course Grading Nutrition 130 Grading follows University of Massachusetts grading guidelines: Grading Details (subject to change) 4 Exams 36% Lecture iClicker Questions 12% In-class writing (must be completed online on day topic is introduced in lecture) 8% Discussion attendance and participation 10% Discussion Activities: CHO Calculation Lipid AssignmentMacronutrient Analysis Micronutrient Analysis Hidden Salt Kcal Eating outEating Cues 11% The Following homew,yes,auto rule-understanding question,
Q034,What exception affects make-up exam penalties in 130 syllabus 2 S 2023?,exception_handling,Students requesting a make-up exam after the actual exam are subject to a 20% grade penalty unless they can provide an excuse for missing the exam.,130 syllabus_2 S 2023.txt,1,Students requesting a make-up exam after the actual exam will be subject to a 20% grade penalty unless they can provide an excuse for missing the exam.,yes,auto rule-understanding question,
Q035,When must the video or reading questionnaire questions be completed in 130 syllabus 2 S 2023?,rule_understanding,They must be completed on the day the topic is presented in lecture.,130 syllabus_2 S 2023.txt,1,These questions must be completed on the day that I present the topic in lecture.,yes,auto rule-understanding question,
Q036,Will the analysis required for the questionnaire questions be on the exam in 130 syllabus 2 S 2023?,rule_understanding,No. The analysis required to answer those questions will not be on the exam.,130 syllabus_2 S 2023.txt,1,The analysis required to answer these questions will not be on the exam.,yes,auto rule-understanding question,
Q037,What late submission penalty is stated in 130 syllabus 2 S 2023?,rule_understanding,"Late submissions are allowed, but there is a 10% deduction for every day the work is late.",130 syllabus_2 S 2023.txt,1,"Please note LATE POLICY: We allow for late submissions, however, there is a 10% deduction for every day it is late.",yes,auto rule-understanding question,
Q038,What must a student do if they are sick before discussion in 130 syllabus 2 S 2023?,rule_understanding,The student must email their TA before the discussion if they are sick and have no medical note.,130 syllabus_2 S 2023.txt,1,Sick policy for discussion: you must email your TA BEFORE the discussion if you are sick with no medical note.,yes,auto rule-understanding question,
Q039,What is required to earn full credit on video or reading questionnaires in 130 syllabus 2 S 2023?,rule_understanding,"To earn full credit, the writer must provide a thoughtful response.",130 syllabus_2 S 2023.txt,1,To earn full credit on the Video/Reading Questionnaires the writer must provide a thoughtful response.,yes,auto rule-understanding question,
Q040,What kind of answer is required for full credit on video or reading questionnaires in 130 syllabus 2 S 2023?,rule_understanding,"The answer must be thoughtful and accurate, answer the question posed, or defend an opinion accurately using information from the reading.",130 syllabus_2 S 2023.txt,1,To earn full credit on the Video/Reading Questionnaires the writer must provide a thoughtful and accurate answer to the question posed in the questionnaire or defend an opinion accurately using information from the reading.,yes,auto rule-understanding question,
Q041,"If a student participates in discussion but has more than two unexcused absences in 1. Syllabus 2023, what should they understand?",multi_condition_reasoning,"Discussion participation is important, but more than two unexcused absences still result in a drop of at least one letter grade.",1. Syllabus 2023.txt,1,"Your thoughts and questions are vital to our discussion and no idea should be suppressed for fear of retaliation, either from other students or the instructor. More than two unexcused absences will result in a drop of at least one letter grade.",yes,auto multi-condition reasoning question,
Q042,"If a student uses a cell phone in class and also has more than two unexcused absences in 1. Syllabus 2023, what policies apply?",multi_condition_reasoning,"Cell phone use is not permitted in the classroom, and more than two unexcused absences result in a drop of at least one letter grade.",1. Syllabus 2023.txt,1,"Lastly, cell phone use is not permitted inside the classroom as a courtesy to the entire class. More than two unexcused absences will result in a drop of at least one letter grade.",yes,auto multi-condition reasoning question,
Q043,"If a student does not participate and also has more than two unexcused absences in 1. Syllabus 2023, what should they understand?",multi_condition_reasoning,"Participation is necessary for building the class community, and more than two unexcused absences result in a drop of at least one letter grade.",1. Syllabus 2023.txt,1,Building a community necessitates participation by its members. More than two unexcused absences will result in a drop of at least one letter grade.,yes,auto multi-condition reasoning question,
Q044,"If a student participates inconsistently and has more than two unexcused absences in 1. Syllabus 2023, what grading issue may arise?",multi_condition_reasoning,"Consistent participation supports the class learning community, and more than two unexcused absences result in a drop of at least one letter grade.",1. Syllabus 2023.txt,1,"Consistent participation will ensure that we, as a group, grow together in our understanding of the federal bureaucracy. More than two unexcused absences will result in a drop of at least one letter grade.",yes,auto multi-condition reasoning question,
Q045,"If a student has more than two absences but provides appropriate documentation in 1. Syllabus 2023, what should be considered?",multi_condition_reasoning,"More than two unexcused absences result in a grade drop, but absences may be excused if supported by appropriate documentation from the dean or a doctor.",1. Syllabus 2023.txt,1,"More than two unexcused absences will result in a drop of at least one letter grade. Absences are excused if supported by an appropriate document (i.e., from the dean or doctor).",yes,auto multi-condition reasoning question,
Q046,"If a student has a documented absence and submits an assignment late in 1. Syllabus 2023, what policies are relevant?",multi_condition_reasoning,"A documented absence may be excused, but assignments must still be turned in on the due date or students may face a drop of at least one letter grade per day.",1. Syllabus 2023.txt,1,"Absences are excused if supported by an appropriate document (i.e., from the dean or doctor). Assignments are to be turned in promptly on the date they are due, or students will be subject to a drop of at least one letter grade per day.",yes,auto multi-condition reasoning question,
Q047,"If a student argues for fairness but turns in an assignment late in 1. Syllabus 2023, what rule still applies?",multi_condition_reasoning,"Fairness is emphasized, but assignments must be turned in on time or students may be subject to a drop of at least one letter grade per day.",1. Syllabus 2023.txt,1,"Fairness is an important aspect of building community. Assignments are to be turned in promptly on the date they are due, or students will be subject to a drop of at least one letter grade per day.",yes,auto multi-condition reasoning question,
Q048,"If all students are held to the same standards and an assignment is late in 1. Syllabus 2023, what consequence is stated?",multi_condition_reasoning,"All students are held to the same standards, and late assignments may result in a drop of at least one letter grade per day.",1. Syllabus 2023.txt,1,"For that reason, all students will be held to the same standards. Assignments are to be turned in promptly on the date they are due, or students will be subject to a drop of at least one letter grade per day.",yes,auto multi-condition reasoning question,
Q049,"If a student submits work late and also arrives late or leaves early in 1. Syllabus 2023, what two issues are stated?",multi_condition_reasoning,"Late assignments may result in a drop of at least one letter grade per day, and arriving late or leaving early disrupts the flow of the class.",1. Syllabus 2023.txt,1,"Assignments are to be turned in promptly on the date they are due, or students will be subject to a drop of at least one letter grade per day. When people arrive late or leave early it disrupts the flow of the class.",yes,auto multi-condition reasoning question,
Q050,"If a student disrupts class by arriving late and also commits academic dishonesty in 1. Syllabus 2023, what policies apply?",multi_condition_reasoning,"Arriving late or leaving early disrupts the class, and academic dishonesty in any form results in a grade of zero.",1. Syllabus 2023.txt,1,When people arrive late or leave early it disrupts the flow of the class. Academic dishonesty in any form will not be tolerated and will result in a grade of zero.,yes,auto multi-condition reasoning question,
Q051,"If a student needs to arrive late or leave early and also must avoid academic dishonesty in 1. Syllabus 2023, what should they understand?",multi_condition_reasoning,"Late arrivals or early departures should be exceptions and require prior consultation, while academic dishonesty is not tolerated and results in a grade of zero.",1. Syllabus 2023.txt,1,"For that reason, late arrivals or early departures should be an exception and only with prior consultation. Academic dishonesty in any form will not be tolerated and will result in a grade of zero.",yes,auto multi-condition reasoning question,
Q052,"If a student attends lectures but skips discussion sections in 101-f22-syll, what grading-related issue is stated?",multi_condition_reasoning,"Lectures meet on Monday and Wednesday, but discussion sections are on Friday and include group problem solving and mini-assignments that constitute a sizeable part of the grade.",101-f22-syll.txt,1,"Lectures, Discussion Sections and Attendance: I will lecture on MW 1.25-2.15 in Morrill Science (II), Room 131. Discussion sections are on Friday (check Spire to see the time/ location of your section) and you should make sure to attend these as you will be doing group problem solving and mini-assignments which will constitute a size-able chunk of your grade.",yes,auto multi-condition reasoning question,
Q053,"If a student cannot attend discussion in 101-f22-syll, what should they do and why?",multi_condition_reasoning,"Discussion sections contribute to the grade, but if a student is absent, they should let the TA know so the TA can make an accommodation.",101-f22-syll.txt,1,Discussion sections are on Friday (check Spire to see the time/ location of your section) and you should make sure to attend these as you will be doing group problem solving and mini-assignments which will constitute a size-able chunk of your grade. You will not be penalized for your absence - just let your TA know and they will make an accommodation for you.,yes,auto multi-condition reasoning question,
Q054,"If a student misses one homework assignment in 101-f22-syll, why could that matter for the course grade?",multi_condition_reasoning,"Homework assignments make up 50% of the course grade, so missing one assignment could lower the grade considerably.",101-f22-syll.txt,1,"4) investigate issues related to language in social contexts. Homework Assignments (10*5=50%): This is a big chunk of the course grade, so just one missing assignment could lower your grade considerably!",yes,auto multi-condition reasoning question,
Q055,"If homework is a large part of the grade in 101-f22-syll, how must assignments be submitted?",multi_condition_reasoning,"Homework assignments make up 50% of the grade, and assignments must be typed and submitted electronically via Moodle in PDF format unless otherwise indicated.",101-f22-syll.txt,1,"Homework Assignments (10*5=50%): This is a big chunk of the course grade, so just one missing assignment could lower your grade considerably! All assignments must be typed and submitted electronically via Moodle in pdf format unless indicated otherwise.",yes,auto multi-condition reasoning question,
Q056,What attendance penalty applies to more than two unexcused absences in 1. Syllabus 2023?,rule_understanding,More than two unexcused absences result in a drop of at least one letter grade.,1. Syllabus 2023.txt,1,More than two unexcused absences will result in a drop of at least one letter grade.,yes,auto exception-handling question,
Q057,Under what condition are absences excused in 1. Syllabus 2023?,exception_handling,"Absences are excused if supported by an appropriate document, such as documentation from the dean or a doctor.",1. Syllabus 2023.txt,1,"Absences are excused if supported by an appropriate document (i.e., from the dean or doctor).",yes,auto exception-handling question,
Q058,What special-case rule applies to late arrivals or early departures in 1. Syllabus 2023?,exception_handling,Late arrivals or early departures should be exceptions and should occur only with prior consultation.,1. Syllabus 2023.txt,1,"For that reason, late arrivals or early departures should be an exception and only with prior consultation.",yes,auto exception-handling question,
Q059,What exception is stated to the PDF assignment submission requirement in 101-f22-syll?,exception_handling,Assignments must be submitted in PDF format unless otherwise indicated.,101-f22-syll.txt,1,All assignments must be submitted in pdf format unless otherwise indicated.,yes,auto exception-handling question,
Q060,What accommodation is stated for a student's absence in 101-f22-syll?,exception_handling,"The student will not be penalized for the absence if they let the TA know, and the TA will make an accommodation.",101-f22-syll.txt,1,You will not be penalized for your absence - just let your TA know and they will make an accommodation for you.,yes,auto exception-handling question,
Q061,What disability accommodation statement is made in 101-f22-syll?,exception_handling,Many accommodations are available at the university to ensure that students with disabilities participate fully in academic and student life.,101-f22-syll.txt,1,Accommodations at the University of Massachusetts: Many accommodations are available at the University to ensure that students with disabilities participate fully in academic and student life.,yes,auto exception-handling question,
Q062,What access goal is stated for students with disabilities in 101-f22-syll?,exception_handling,Accommodations provide students with disabilities equal access to the educational and co-curricular process without compromising essential curriculum components.,101-f22-syll.txt,1,"They provide a student with a disability equal access to the educational and co-curricular process, without compromising essential components of the curriculum.",yes,auto exception-handling question,
Q063,How are accommodations determined in 101-f22-syll?,exception_handling,Accommodations are determined on an individual basis based on the student's documentation.,101-f22-syll.txt,1,"Accommodations are determined on an individual basis, based on the student's documentation.",yes,auto exception-handling question,
Q064,Who may be eligible for accommodations in 101-f22-syll?,exception_handling,A student with a documented disability on file with Disability Services may be eligible for accommodations in the course.,101-f22-syll.txt,1,"If you have a documented disability (e.g., physical, psychological, or learning) on file with Disability Services, you may be eligible for accommodations in this course.",yes,auto exception-handling question,
Q065,What should students with documented disabilities do if they require accommodations in 101-f22-syll?,exception_handling,They should let the instructor know as soon as possible.,101-f22-syll.txt,1,"If you have a documented disability and require accommodations, please let me know as soon as possible.",yes,auto exception-handling question,
Q066,Who should students contact for course accommodation and disability information in 101-f22-syll?,exception_handling,Students should contact Disability Services for information about course accommodation and disability.,101-f22-syll.txt,1,"For information about course accommodation and disability, contact Disability Services.",yes,auto exception-handling question,
Q067,What office must have a documented disability on file for accommodation eligibility in 101-f22-syll?,exception_handling,The documented disability must be on file with Disability Services for the student to be eligible for accommodations.,101-f22-syll.txt,1,"disability (e.g., physical, psychological, or learning) on file with Disability Services, you may be eligible for accommodations in this course.",yes,auto exception-handling question,
Q068,What exception is stated for typed electronic PDF submissions in 101-f22-syll?,exception_handling,Assignments must be typed and submitted electronically via Moodle in PDF format unless otherwise indicated.,101-f22-syll.txt,1,All assignments must be typed and submitted electronically via Moodle in pdf format unless indicated otherwise.,yes,auto exception-handling question,
Q069,When may the stated PDF submission format not apply in 101-f22-syll?,exception_handling,The PDF submission requirement may not apply when otherwise indicated.,101-f22-syll.txt,1,All assignments must be submitted in pdf format unless otherwise indicated.,yes,auto exception-handling question,
Q070,When will exceptions be made for religious observance or serious illness in 101-f22-syll?,exception_handling,Exceptions will be made when the student provides advance notice of religious observance or written documentation for serious illness or another compelling event.,101-f22-syll.txt,1,Exceptions will be made when you provide advance notice of religious observance (https://www.umass.edu/gateway/religious-observance) or written documentation in the event of serious illness or some other compelling event.,yes,auto exception-handling question,
Q071,What is the instructor's personal phone number?,unanswerable_insufficient_evidence,The provided course documents do not contain enough information to answer this question.,N/A,N/A,N/A,no,auto unanswerable question; intentionally not supported by course documents,
Q072,What is the instructor's home address?,unanswerable_insufficient_evidence,The provided course documents do not contain enough information to answer this question.,N/A,N/A,N/A,no,auto unanswerable question; intentionally not supported by course documents,
Q073,What is the exact final exam question that will appear on the exam?,unanswerable_insufficient_evidence,The provided course documents do not contain enough information to answer this question.,N/A,N/A,N/A,no,auto unanswerable question; intentionally not supported by course documents,
Q074,What private medical condition does the instructor have?,unanswerable_insufficient_evidence,The provided course documents do not contain enough information to answer this question.,N/A,N/A,N/A,no,auto unanswerable question; intentionally not supported by course documents,
Q075,What is the password for the course management system?,unanswerable_insufficient_evidence,The provided course documents do not contain enough information to answer this question.,N/A,N/A,N/A,no,auto unanswerable question; intentionally not supported by course documents,
Q076,What is the student's private GPA in this course?,unanswerable_insufficient_evidence,The provided course documents do not contain enough information to answer this question.,N/A,N/A,N/A,no,auto unanswerable question; intentionally not supported by course documents,
Q077,What is the instructor's personal bank account information?,unanswerable_insufficient_evidence,The provided course documents do not contain enough information to answer this question.,N/A,N/A,N/A,no,auto unanswerable question; intentionally not supported by course documents,
Q078,What exact grade will a specific student receive at the end of the semester?,unanswerable_insufficient_evidence,The provided course documents do not contain enough information to answer this question.,N/A,N/A,N/A,no,auto unanswerable question; intentionally not supported by course documents,
Q079,What private email messages did students send to the instructor?,unanswerable_insufficient_evidence,The provided course documents do not contain enough information to answer this question.,N/A,N/A,N/A,no,auto unanswerable question; intentionally not supported by course documents,
Q080,What is the answer key for all future exams?,unanswerable_insufficient_evidence,The provided course documents do not contain enough information to answer this question.,N/A,N/A,N/A,no,auto unanswerable question; intentionally not supported by course documents,
