question_id,question,category,answerable,reference_answer,evidence_doc,full_context_answer,selected_doc_count,context_chars,error
Q001,What office hours are stated for Federal Budgeting Process in Spring 2023?,factual_extraction,yes,Office hours are by appointment.,1. Syllabus 2023.txt,The office hours for the Federal Budgeting Process course in Spring 2023 are by appointment. The professor's email is provided as <PROF_EMAIL>.,1,6956,
Q002,What penalty is stated for more than two unexcused absences in 1. Syllabus 2023?,factual_extraction,yes,More than two unexcused absences will result in a drop of at least one letter grade.,1. Syllabus 2023.txt,The penalty for more than two unexcused absences is a drop of at least one letter grade.,1,6956,
Q003,When are absences excused in 1. Syllabus 2023?,factual_extraction,yes,"Absences are excused if they are supported by an appropriate document, such as documentation from the dean or a doctor.",1. Syllabus 2023.txt,"Absences are excused if supported by an appropriate document (i.e., from the dean or doctor).",1,6956,
Q004,What penalty is stated for late assignments in 1. Syllabus 2023?,factual_extraction,yes,"Assignments must be turned in on the due date; otherwise, students are subject to a drop of at least one letter grade per day.",1. Syllabus 2023.txt,The penalty for late assignments is a drop of at least one letter grade per day.,1,6956,
Q005,What grade consequence is stated for academic dishonesty in 1. Syllabus 2023?,factual_extraction,yes,Academic dishonesty in any form will not be tolerated and will result in a grade of zero.,1. Syllabus 2023.txt,"The grade consequence for academic dishonesty, which is defined as ""All students are expected to act in an ethical manner. Academic dishonesty in any form will not be tolerated and will result in a grade of zero,"" is stated in the syllabus.",1,6956,
Q006,What is the final presentation requirement in 1. Syllabus 2023?,factual_extraction,yes,Each student will make a final presentation on an agency's FY 2024 budget proposal.,1. Syllabus 2023.txt,"The final presentation requirement in the syllabus is that each student will make a presentation on an agency's FY 2024 budget proposal. The proposal should be developed taking into consideration previous budgets and requests. Prior to the presentation, the student will provide the class with a draft of their proposal. The presentations will be reviewed based on the content and quality of the presentations. Presentations are made to the class (acting as congressional appropriation staff) and should be 5 minutes long with an additional 5 minutes for questions and discussion.",1,6956,
Q007,How is the assessment divided in 1. Syllabus 2023?,factual_extraction,yes,"The assessment consists of one-page memos worth 30%, the final presentation worth 30%, and overall class participation worth 40%.",1. Syllabus 2023.txt,"The assessment for this course in 1. Syllabus 2023 is divided as follows:

- One-page memos: 30%
- Final presentation: 30%
- Overall class participation: 40%

This breakdown covers the total percentage of the final grade, which is 100%.",1,6956,
Q008,What assignment is due on February 11 in 1. Syllabus 2023?,factual_extraction,yes,The February 11 assignment is a one-page memo comparing an agency's FY 2021 budget for a specific program with the program's FY 2022 budget.,1. Syllabus 2023.txt,The assignment due on February 11 in 1. Syllabus 2023 is to write a one-page memo comparing an agency's FY 2021 budget for a specific program and the program's FY 2022 budget. You will need to use the agency's FY 2021 and FY 2022 appropriation bills and their FY 2022 budget justification.,1,6956,
Q009,What assignment is due on February 18 in 1. Syllabus 2023?,factual_extraction,yes,The February 18 assignment is a one-page memo comparing the President's FY 2023 budget request for a specific program within an agency to the program's FY 2022 budget.,1. Syllabus 2023.txt,"On February 18, students are assigned to write a one-page memo comparing the President's FY 2023 budget request for a specific program within an agency to the program's FY 2022 budget. They will need to use the agency's FY 2022 and FY 2023 appropriation bills and budget justifications.",1,6956,
Q010,What topic is scheduled for February 21 in 1. Syllabus 2023?,factual_extraction,yes,"The February 21 topic covers budget preparation, the President's budget, budget execution, and the agency budget formulation process.",1. Syllabus 2023.txt,"The topic scheduled for February 21 in the syllabus is ""Budget preparation and the President's budget, and budget execution"". This includes an examination of the agency budget formulation process, including OMB’s review of agency requests and the formulation of the president's budget. It also involves examining the President's FY 2023 budget and discussing the implementation stage of federal budgeting, which is managing agency finances and assessing results. Additionally, it covers performance-based management at the federal level and agencies' strategic plans.",1,6956,
Q011,What budget is examined in 1. Syllabus 2023?,factual_extraction,yes,The syllabus states that students examine the President's FY 2023 budget.,1. Syllabus 2023.txt,"Based on the provided syllabus, no specific federal budget year is explicitly mentioned for examination in Module 1 (February 7). The module covers an introduction to the federal budget process and includes discussions of various aspects such as the authorization/appropriations process, budget preparation, and execution. It does not specify a particular fiscal year budget that will be examined or compared within this module.

Therefore, the syllabus does not provide enough information to determine which specific federal budget is being examined in Module 1 (February 7).",1,6956,
Q012,What office hours information is stated in 101-f22-syll?,factual_extraction,yes,"The instructor's office hours are Wednesday 12:00-1:00 and by email. Teaching assistants also list office hours, including Friday 8:00-10:00, Monday/Wednesday 2:30-3:30, and Thursday 2:00-4:00.",101-f22-syll.txt,"The syllabus provides the following office hours for the course:

- <PROF_FULL_NAME> has office hours on Wednesday from 12 to 1 PM, and by email.
- The teaching assistants have their own office hours:
  - <TA_FULL_NAME> (<TA_EMAIL>) is available in ILC N421H with office hours on Friday (Sections AF) from 8 AM to 10 AM.
  - Another <TA_FULL_NAME> (<TA_EMAIL>) has office hours on Friday (Sections AA, AB) at Hasbrouck Lab Add 104B from 1.25 PM to 2.15 PM.
  - The third <TA_FULL_NAME> (<TA_EMAIL>) is available in ILC N431G with office hours on Thursday from 2 PM to 4 PM, and at Hasbrouck Lab 228 for Sections AE, and at Hasbrouck Lab 138 for Sections AB.

These are the details provided about the office hours in the syllabus.",1,10459,
Q013,What topic related to dialect prejudice is stated in 101-f22-syll?,factual_extraction,yes,The course states that it will closely examine the pernicious effects of dialect prejudice.,101-f22-syll.txt,"The course discusses the topic of dialect prejudice. Specifically, it examines how accents and dialects are important markers of regional and social identity and looks at the pernicious effects of dialect prejudice.

This information can be found under the section ""Misconceptions about and attitudes toward dialects, in particular dialect prejudice"" in the Course Objective part of the syllabus.",1,10459,
Q014,What file format is required for assignments in 101-f22-syll?,factual_extraction,yes,All assignments must be submitted in PDF format unless otherwise indicated.,101-f22-syll.txt,Assignments must be submitted in pdf format unless otherwise indicated.,1,10459,
Q015,When and where are lectures held in 101-f22-syll?,factual_extraction,yes,"Lectures are held on Monday and Wednesday from 1:25 to 2:15 in Morrill Science II, Room 131.",101-f22-syll.txt,"Lectures for LINGUIST 101 (49624) MW 1.25-2.15 are held in Morrill Science (II), Room 131.",1,10459,
Q016,Why should students attend discussion sections in 101-f22-syll?,factual_extraction,yes,"Students should attend discussion sections because they will do group problem solving and mini-assignments there, which constitute a sizeable part of the grade.",101-f22-syll.txt,"Students should attend discussion sections in LINGUIST 101 (F22) because they are an essential part of the course, constituting a significant portion of their grade. Discussion sections provide opportunities for group problem solving and mini-assignments that help students develop analytical skills and work effectively with others. Additionally, these sessions allow students to receive feedback on their work from both the instructor and teaching assistants, which can be crucial for improving their understanding of the course material. Students are encouraged to communicate with instructors and TAs if they miss a section or need accommodations due to personal reasons.",1,10459,
Q017,What should a student do if they are absent from discussion in 101-f22-syll?,factual_extraction,yes,The student should let the TA know; the syllabus states that the student will not be penalized and the TA will make an accommodation.,101-f22-syll.txt,"If a student is absent from the discussion section of LINGUIST 101 (F22), they should inform their Teaching Assistant (TA) as soon as possible. The TA will make an accommodation for the absence, and there will be no penalty if the student notifies them in advance.",1,10459,
Q018,How much of the course grade is made up by homework assignments in 101-f22-syll?,factual_extraction,yes,Homework assignments make up 50% of the course grade.,101-f22-syll.txt,Homework Assignments make up 50% of the course grade.,1,10459,
Q019,How must assignments be submitted in 101-f22-syll?,factual_extraction,yes,Assignments must be typed and submitted electronically via Moodle in PDF format unless otherwise indicated.,101-f22-syll.txt,"Assignments for LINGUIST 101 (49624) Fall 2022 need to be submitted in PDF format, unless otherwise indicated. They should be typed and submitted electronically via Moodle. Late assignments will be accepted as long as they are submitted at the beginning of the class period immediately following the due date, with a penalty for being late. No credit is given after the extended due date, except for exceptions related to religious observance or serious illness.",1,10459,
Q020,Where will assignment due dates be provided in 101-f22-syll?,factual_extraction,yes,Due dates will be given in the instructions for assignments.,101-f22-syll.txt,"Assignment due dates will be provided in the instructions for assignments. These instructions will likely be posted on Moodle, where all course materials are made available.",1,10459,
Q021,Which budget-related resources are listed in 1. Syllabus 2023?,rule_understanding,yes,"The syllabus lists resources such as the Office of Management and Budget, the Congressional Budget Office, Congressional legislation information, past President budget proposals, and budget-related government resources.",1. Syllabus 2023.txt,"The course materials mentioned in the syllabus include:

- Office of Management and Budget (OMB) at http://www.whitehouse.gov/omb/
- Congressional Budget Office (CBO) at http://www.cbo.gov/
- Congressional Legislation Information at https://www.congress.gov/
- Past President Budget Proposals at http://www.gpo.gov/fdsys/browse/collectionGPO.action?collectionCode=BUDGET
- Federal Government Performance and Results Act (GPRA) Modernization Act's online centralized performance reporting portal at Federal-Government-Performance-and-Results-Act-(GPRA)-Modernization-Act
- Glossary Terms Used in the Federal Budget Process and a Comprehensive Description of the Budget Process from GAO at http://www.gao.gov/new.items/d05734sp.pdf
- The Long-Term Budget Outlook: CBO's report available at https://www.cbo.gov/publication/58269
- Congressional Legislation Information at https://www.congress.gov/

Additionally, there are useful government websites such as the Office of Management and Budget (OMB), Congressional Budget Office (CBO), and other related resources.",1,6956,
Q022,What rule applies to academic dishonesty in 1. Syllabus 2023?,rule_understanding,yes,Academic dishonesty in any form will not be tolerated and will result in a grade of zero.,1. Syllabus 2023.txt,"The rule regarding academic dishonesty is that all students are expected to act in an ethical manner, and any form of academic dishonesty will result in a grade of zero.",1,6956,
Q023,What class participation rule is stated in 1. Syllabus 2023?,rule_understanding,yes,Students must be prepared to actively participate during class.,1. Syllabus 2023.txt,The class participation rule stated in the syllabus is that students must be prepared to actively participate during class.,1,6956,
Q024,What assignment format rule is stated in 101-f22-syll?,rule_understanding,yes,All assignments must be submitted in PDF format unless otherwise indicated.,101-f22-syll.txt,"The assignment format rule stated in the syllabus is that all assignments must be submitted in PDF format, unless otherwise indicated. Additionally, late assignments will lose twenty percent of the total points if submitted after the extended due date, with exceptions for religious observance or serious illness.",1,10459,
Q025,Where will required class materials be posted in 101-f22-syll?,rule_understanding,yes,"All class materials, including required readings, will be posted on Moodle.",101-f22-syll.txt,Required class materials will be posted on Moodle.,1,10459,
Q026,What does 101-f22-syll say about critical thought?,rule_understanding,yes,Critical thought is required in all areas of the course.,101-f22-syll.txt,"According to the syllabus provided in [Document 1: 101_f22_syll], the course aims to develop and practice skills of critical thinking, reasoning, communication, and integration of knowledge and perspectives. This is part of Objective #5 from the UMass Amherst General Education Learning Objectives.

The syllabus specifically states:

""Objective #5: Develop and practice the skills of critical thinking, reasoning, communication, and integration of knowledge and perspectives, including...""

This indicates that critical thought is a key component of the course objectives.",1,10459,
Q027,What electronic submission rule is stated in 101-f22-syll?,rule_understanding,yes,Assignments must be typed and submitted electronically via Moodle in PDF format unless otherwise indicated.,101-f22-syll.txt,"The course requires all assignments to be typed and submitted electronically via Moodle in pdf format unless indicated otherwise. Late assignments will be accepted as long as they are submitted at the beginning of the class period immediately following the due date, with a penalty for late submissions. No credit is given after the extended due date, except under specific circumstances such as religious observance or serious illness.",1,10459,
Q028,What academic dishonesty policy is stated in 101-f22-syll?,rule_understanding,yes,"Students should become familiar with the university policy on academic dishonesty, including plagiarism, copying someone else's responses, and allowing others to copy their work.",101-f22-syll.txt,"The course policy on academic dishonesty states that plagiarism, copying someone else's responses to any assignments, projects, and exams, and allowing others to copy your work are considered academic dishonesty. Appropriate action will be taken for such instances.",1,10459,
Q029,How does 101-f22-syll briefly define plagiarism?,rule_understanding,yes,Plagiarism refers to passing off someone else's work as your own.,101-f22-syll.txt,"According to the course syllabus provided in [Document 1: 101_f22_syll], plagiarism is defined as passing off someone else's responses to any assignments, projects, and exams, and allowing others to copy your work.",1,10459,
Q030,What forms of copying are considered academic dishonesty in 101-f22-syll?,rule_understanding,yes,"Copying someone else's responses to assignments, projects, or exams, and allowing others to copy your work, are considered academic dishonesty.",101-f22-syll.txt,"Copying someone else's responses to any assignments, projects, and exams, and allowing others to copy your work are considered academic dishonesty.",1,10459,
Q031,Is the book required in 130 syllabus 2 S 2023?,rule_understanding,yes,"No. The book is recommended but not required, and it is available as an eText.",130 syllabus_2 S 2023.txt,"The course document does not explicitly state whether the book is required or not. It only mentions that information on the book for this course is available on the Moodle page and notes that it is recommended but not required, being available as an etext.",2,12000,
Q032,What designation requirement is stated for Nutrition 130 in 130 syllabus 2 S 2023?,rule_understanding,yes,Nutrition 130 must meet certain criteria to meet the BS designation.,130 syllabus_2 S 2023.txt,"Nutrition 130 must meet certain criteria to meet the BS (Basic Science) designation. The criteria and the means of addressing them in this class are listed below.

The course should cover the fundamental principles of science.
The course should include critical thinking.
The course should address the relevance of the science and its impact on society.",2,12000,
Q033,What grading components are listed for Nutrition 130 in 130 syllabus 2 S 2023?,rule_understanding,yes,"The listed grading components include four exams worth 36%, lecture iClicker questions worth 12%, in-class writing worth 8%, discussion attendance and participation worth 10%, and several homework or activity assignments.",130 syllabus_2 S 2023.txt,"The grading components listed for Nutrition 130 (NUTRITION 130) in the Spring 2023 syllabus are as follows:

- **Exams**: 4 exams, each worth 8% of the final grade.
- **Lecture iClicker Questions**: 12%.
- **In-class writing**: Must be completed online on the day a topic is introduced in lecture and is worth 8%.
- **Discussion attendance and participation**: 10%.
- **Discussion Activities**: These include various assignments such as CHO Calculation, Lipid Assignment, Macronutrient Analysis, Micronutrient Analysis, Hidden Salt Kcal Eating out Eating Cues, etc., each contributing to the final grade. The total for these activities is 11%.
- **Food Intake Analysis**: Worth 6% of the final grade.
- **Diet Modification**: Includes individual and group work, worth 6% of the final grade.
- **Website Review Assignment**: Worth 6% of the final grade.
- **News Article**: Worth 5% of the final grade.
- **Homework Total**: The total for all homework assignments is also reviewed in discussion (before they are due on Moodle) and is worth a higher percent of your final grade, totaling 23%.

In addition to these, there are extra credit opportunities that can be earned up to a maximum of 5 credits. These include:
- **Grocery Store Tour**: 2 extra credit points.
- **Nutrition Counseling Volunteer**: 1 credit per time.
- **Extra Credit Responses to Reading posted on Moodle**: 0.25 points for each questionnaire.
- **Discussion Extra Credit**: 2 at the discretion of your TA.

The total percentage breakdown is 100%.",2,12000,
Q034,What exception affects make-up exam penalties in 130 syllabus 2 S 2023?,exception_handling,yes,Students requesting a make-up exam after the actual exam are subject to a 20% grade penalty unless they can provide an excuse for missing the exam.,130 syllabus_2 S 2023.txt,"The exception affecting make-up exam penalties in the Nutrition 130 syllabus 2S 2023 states that students will be subject to a 20% grade penalty unless they can provide an excuse for missing the exam. To be fair to the other students in the class, we ask that you provide a medical note or other proof of conflict.",2,12000,
Q035,When must the video or reading questionnaire questions be completed in 130 syllabus 2 S 2023?,rule_understanding,yes,They must be completed on the day the topic is presented in lecture.,130 syllabus_2 S 2023.txt,"The document does not provide specific information about when the video or reading questionnaire questions for extra credit opportunities need to be completed. It mentions that these assignments are posted on Moodle and worth a certain percentage of your final grade, but it does not specify deadlines for completing them.",2,12000,
Q036,Will the analysis required for the questionnaire questions be on the exam in 130 syllabus 2 S 2023?,rule_understanding,yes,No. The analysis required to answer those questions will not be on the exam.,130 syllabus_2 S 2023.txt,,2,12000,HTTP Error 500: Internal Server Error
Q037,What late submission penalty is stated in 130 syllabus 2 S 2023?,rule_understanding,yes,"Late submissions are allowed, but there is a 10% deduction for every day the work is late.",130 syllabus_2 S 2023.txt,"The syllabus does not state any specific late submission penalty for homework assignments. It mentions that the lowest two scores from in-class writing prompts will be dropped, but it does not mention a penalty for late submissions.",2,12000,
Q038,What must a student do if they are sick before discussion in 130 syllabus 2 S 2023?,rule_understanding,yes,The student must email their TA before the discussion if they are sick and have no medical note.,130 syllabus_2 S 2023.txt,"If a student is sick and cannot attend their scheduled discussion, they should make up for the missed work by contacting their Discussion TA. The course document states that students can contact their Discussion TAs only if they have questions about grades for homework or discussion assignments on Moodle, or if they want to make up for missing discussion work. For other inquiries, such as absences or exam make-up requests, students should email <EMAIL>.",2,12000,
Q039,What is required to earn full credit on video or reading questionnaires in 130 syllabus 2 S 2023?,rule_understanding,yes,"To earn full credit, the writer must provide a thoughtful response.",130 syllabus_2 S 2023.txt,"Based on the information provided in the course syllabus, extra credit opportunities for video or reading questionnaires are not explicitly mentioned. The syllabus details various homework assignments and their respective weights towards the final grade, but it does not specify any particular weight or requirements for completing video or reading questionnaires. Therefore, without additional specific information about these types of extra credit opportunities in this course, I cannot determine what is required to earn full credit on them.",2,12000,
Q040,What kind of answer is required for full credit on video or reading questionnaires in 130 syllabus 2 S 2023?,rule_understanding,yes,"The answer must be thoughtful and accurate, answer the question posed, or defend an opinion accurately using information from the reading.",130 syllabus_2 S 2023.txt,"Based solely on the information provided in the course documents, there is no specific statement about what kind of answer is required for full credit on video or reading questionnaires. The documents mention that extra-credit assignments will require critical thinking and ask you to read an article or watch a media piece and complete a questionnaire based on what you learned. However, they do not specify the type of answers needed for these assignments to receive full credit.",2,12000,
Q041,"If a student participates in discussion but has more than two unexcused absences in 1. Syllabus 2023, what should they understand?",multi_condition_reasoning,yes,"Discussion participation is important, but more than two unexcused absences still result in a drop of at least one letter grade.",1. Syllabus 2023.txt,"A student who participates in discussions but has more than two unexcused absences will not be able to maintain their current grade level as per the class policies outlined in the syllabus. More than two unexcused absences will result in a drop of at least one letter grade. Therefore, understanding this is crucial for maintaining their academic standing and grades in the course.",1,6956,
Q042,"If a student uses a cell phone in class and also has more than two unexcused absences in 1. Syllabus 2023, what policies apply?",multi_condition_reasoning,yes,"Cell phone use is not permitted in the classroom, and more than two unexcused absences result in a drop of at least one letter grade.",1. Syllabus 2023.txt,"Based on the course policies outlined in the syllabus:

- If a student uses a cell phone during class, they would be subject to a drop of at least one letter grade as per the policy stating that ""cell phone use is not permitted inside the classroom as a courtesy to the entire class.""
  
- Additionally, if a student has more than two unexcused absences in 1. Syllabus 2023, they would be subject to a drop of at least one letter grade due to the policy stating that ""More than two unexcused absences will result in a drop of at least one letter grade.""

Therefore, both policies apply: using a cell phone during class results in a grade penalty, and having more than two unexcused absences also results in a grade penalty. The student would face a cumulative impact on their grade due to these violations.",1,6956,
