question_id,category,answerable,evidence_doc,retrieved_chunk_ids,retrieved_sources,retrieval_hit,match_type
Q001,factual_extraction,yes,1. Syllabus 2023.txt,"[""eecs_376_foundations_of_cs_fall_2020_p2_c1"", ""mdp_(sponsored_project)_2021_cohort_syllabus_p4_c1"", ""mdp_(sponsored_project)_2021_cohort_syllabus_p3_c2"", ""music_ed_500ku_syllabus_s23_p1_c5"", ""eecs_484_database_management_systems_winter_2021_p2_c1""]","[""EECS 376_Foundations of CS_Fall 2020.pdf"", ""MDP (Sponsored Project) 2021 Cohort Syllabus.pdf"", ""MDP (Sponsored Project) 2021 Cohort Syllabus.pdf"", ""MUSIC-ED 500KU Syllabus S23.txt"", ""EECS 484_Database Management Systems_Winter 2021.pdf""]",False,not_found
Q002,factual_extraction,yes,1. Syllabus 2023.txt,"[""webapps2_syllabus_s2022_p6_c1"", ""biochem_320_syllabus_sp23_2_feb_2023_p1_c10"", ""eng_204_syllabus_fa_2021_p1_c2"", ""psych_397d_syllabus_spring_2023_p1_c6"", ""journal_310_(international_journalism)_syllabus___2022_spring_p1_c10""]","[""WebApps2_syllabus_s2022.pdf"", ""BIOCHEM 320 Syllabus SP23 2 Feb 2023.txt"", ""ENG 204 syllabus_FA 2021.txt"", ""PSYCH 397D syllabus Spring 2023.txt"", ""JOURNAL 310 (International Journalism) Syllabus - 2022 Spring.txt""]",False,not_found
Q003,factual_extraction,yes,1. Syllabus 2023.txt,"[""webapps2_syllabus_s2022_p6_c1"", ""journal_310_(international_journalism)_syllabus___2022_spring_p1_c10"", ""music_ed_500ku_syllabus_s23_p1_c3"", ""biochem_320_syllabus_sp23_2_feb_2023_p1_c9"", ""music_ed_500ku_syllabus_s23_p1_c5""]","[""WebApps2_syllabus_s2022.pdf"", ""JOURNAL 310 (International Journalism) Syllabus - 2022 Spring.txt"", ""MUSIC-ED 500KU Syllabus S23.txt"", ""BIOCHEM 320 Syllabus SP23 2 Feb 2023.txt"", ""MUSIC-ED 500KU Syllabus S23.txt""]",False,not_found
Q004,factual_extraction,yes,1. Syllabus 2023.txt,"[""eecs_484_database_management_systems_winter_2021_p5_c1"", ""psych_397d_syllabus_spring_2023_p1_c6"", ""math561&ioe_510_linear_programming_i_winter_2021_p3_c2"", ""geog468668syllabusgis_2023_p1_c4"", ""web_apps_syllabus_2021_p5_c2""]","[""EECS 484_Database Management Systems_Winter 2021.pdf"", ""PSYCH 397D syllabus Spring 2023.txt"", ""MATH561&IOE 510_Linear Programming I_Winter 2021.pdf"", ""GEOG468668syllabusGIS_2023.txt"", ""Web_Apps_Syllabus_2021.pdf""]",False,not_found
Q005,factual_extraction,yes,1. Syllabus 2023.txt,"[""mie_302_spring_2022_syllabus_v1_p1_c4"", ""mie_380_syllabus_f22_p1_c5"", ""stat_111_syl_spring_2023_p1_c5"", ""mktg_497g_customer_insight_syllabus_s2023_p1_c9"", ""ai_and_media_syllabus_s2022_p3_c1""]","[""MIE 302 Spring 2022 Syllabus-v1.txt"", ""MIE 380 syllabus F22.txt"", ""stat-111-syl-spring 2023.txt"", ""MKTG 497G Customer Insight Syllabus S2023.txt"", ""AI_and_Media_Syllabus_s2022.pdf""]",False,not_found
Q006,factual_extraction,yes,1. Syllabus 2023.txt,"[""syllabus_grounding_s_2023_p1_c1"", ""mdp_(sponsored_project)_2021_cohort_syllabus_p8_c1"", ""syllabus_grounding_s_2023_p1_c2"", ""music_ed_500ku_syllabus_s23_p1_c5"", ""nutr_130h_syllabus_2021fall_p1_c3""]","[""Syllabus_Grounding_S_2023.txt"", ""MDP (Sponsored Project) 2021 Cohort Syllabus.pdf"", ""Syllabus_Grounding_S_2023.txt"", ""MUSIC-ED 500KU Syllabus S23.txt"", ""Nutr_130H_Syllabus_2021Fall.txt""]",False,not_found
Q007,factual_extraction,yes,1. Syllabus 2023.txt,"[""music_ed_500ku_syllabus_s23_p1_c5"", ""syllabus.astron101.summer2023_p1_c4"", ""syllabus_grounding_s_2023_p1_c1"", ""eecs_201_computer_science_pragmatics_fall_2020_p2_c3"", ""syllabus_resec213_2023spring_yp_p1_c1""]","[""MUSIC-ED 500KU Syllabus S23.txt"", ""Syllabus.Astron101.summer2023.txt"", ""Syllabus_Grounding_S_2023.txt"", ""EECS 201_Computer Science Pragmatics_Fall 2020.pdf"", ""syllabus-RESEC213-2023spring-yp.txt""]",False,not_found
Q008,factual_extraction,yes,1. Syllabus 2023.txt,"[""music_ed_500ku_syllabus_s23_p1_c5"", ""web_apps_syllabus_2021_p5_c2"", ""eecs_492_introduction_to_ai_winter_2021_p2_c1"", ""stat_111_syl_spring_2023_p1_c1"", ""mdp_(sponsored_project)_2021_cohort_syllabus_p6_c1""]","[""MUSIC-ED 500KU Syllabus S23.txt"", ""Web_Apps_Syllabus_2021.pdf"", ""EECS 492_Introduction to AI_Winter 2021.pdf"", ""stat-111-syl-spring 2023.txt"", ""MDP (Sponsored Project) 2021 Cohort Syllabus.pdf""]",False,not_found
Q009,factual_extraction,yes,1. Syllabus 2023.txt,"[""web_apps_syllabus_2021_p5_c2"", ""music_ed_500ku_syllabus_s23_p1_c5"", ""eecs_492_introduction_to_ai_winter_2021_p2_c1"", ""eecs_370_introduction_to_computer_organization_fall_2020_p4_c1"", ""mdp_(sponsored_project)_2021_cohort_syllabus_p7_c1""]","[""Web_Apps_Syllabus_2021.pdf"", ""MUSIC-ED 500KU Syllabus S23.txt"", ""EECS 492_Introduction to AI_Winter 2021.pdf"", ""EECS 370_Introduction to Computer Organization_Fall 2020.pdf"", ""MDP (Sponsored Project) 2021 Cohort Syllabus.pdf""]",False,not_found
Q010,factual_extraction,yes,1. Syllabus 2023.txt,"[""mdp_(sponsored_project)_2021_cohort_syllabus_p6_c1"", ""mdp_(sponsored_project)_2021_cohort_syllabus_p5_c1"", ""music_ed_500ku_syllabus_s23_p1_c5"", ""mdp_(sponsored_project)_2021_cohort_syllabus_p1_c1"", ""syllabus_spp_697_pm_2023_(clean)_p1_c17""]","[""MDP (Sponsored Project) 2021 Cohort Syllabus.pdf"", ""MDP (Sponsored Project) 2021 Cohort Syllabus.pdf"", ""MUSIC-ED 500KU Syllabus S23.txt"", ""MDP (Sponsored Project) 2021 Cohort Syllabus.pdf"", ""Syllabus SPP 697 PM 2023 (clean).txt""]",False,not_found
Q011,factual_extraction,yes,1. Syllabus 2023.txt,"[""1._syllabus_2023_p1_c1"", ""1._syllabus_2023_p1_c3"", ""2023_chem122_syllabus_p1_c1"", ""syllabus_spp_697_pm_2023_(clean)_p1_c1"", ""music_ed_500ku_syllabus_s23_p1_c5""]","[""1. Syllabus 2023.txt"", ""1. Syllabus 2023.txt"", ""2023_Chem122_syllabus.txt"", ""Syllabus SPP 697 PM 2023 (clean).txt"", ""MUSIC-ED 500KU Syllabus S23.txt""]",True,source_match
Q012,factual_extraction,yes,101-f22-syll.txt,"[""eecs_376_foundations_of_cs_fall_2020_p2_c1"", ""mdp_(sponsored_project)_2021_cohort_syllabus_p4_c1"", ""mdp_(sponsored_project)_2021_cohort_syllabus_p3_c2"", ""syllabus_spmgt461_dataanalytics_p1_c1"", ""eecs_484_database_management_systems_winter_2021_p2_c1""]","[""EECS 376_Foundations of CS_Fall 2020.pdf"", ""MDP (Sponsored Project) 2021 Cohort Syllabus.pdf"", ""MDP (Sponsored Project) 2021 Cohort Syllabus.pdf"", ""Syllabus_Spmgt461_DataAnalytics.txt"", ""EECS 484_Database Management Systems_Winter 2021.pdf""]",False,not_found
Q013,factual_extraction,yes,101-f22-syll.txt,"[""101_f22_syll_p1_c1"", ""101_f22_syll_p1_c3"", ""honors_391ah___aa_media_pop_culture___fall_2022_syllabus_p1_c6"", ""syllabus_biology497g_biology697g_fa22_p1_c4"", ""nutr_130h_syllabus_2021fall_p1_c6""]","[""101-f22-syll.txt"", ""101-f22-syll.txt"", ""Honors 391AH - AA Media Pop Culture - Fall 2022 Syllabus.txt"", ""Syllabus_BIOLOGY497G_BIOLOGY697G_FA22.txt"", ""Nutr_130H_Syllabus_2021Fall.txt""]",True,source_match
Q014,factual_extraction,yes,101-f22-syll.txt,"[""web_apps_syllabus_2021_p5_c2"", ""eecs_442_computer_vision_winter_2021_p2_c3"", ""syllabus_introgis_fall2022_p1_c10"", ""web_apps_syllabus_2021_p2_c2"", ""eecs_492_introduction_to_ai_winter_2021_p4_c2""]","[""Web_Apps_Syllabus_2021.pdf"", ""EECS 442_Computer Vision_Winter 2021.pdf"", ""Syllabus_IntroGIS_Fall2022.txt"", ""Web_Apps_Syllabus_2021.pdf"", ""EECS 492_Introduction to AI_Winter 2021.pdf""]",False,not_found
Q015,factual_extraction,yes,101-f22-syll.txt,"[""eecs_445_introduction_to_ml_winter_2021_p2_c1"", ""101_f22_syll_p1_c1"", ""l0_p1_c1"", ""psych_397d_syllabus_spring_2023_p1_c2"", ""webapps2_syllabus_s2022_p1_c1""]","[""EECS 445_Introduction to ML_Winter 2021.pdf"", ""101-f22-syll.txt"", ""L0.txt"", ""PSYCH 397D syllabus Spring 2023.txt"", ""WebApps2_syllabus_s2022.pdf""]",True,source_match
Q016,factual_extraction,yes,101-f22-syll.txt,"[""130_syllabus_2_s_2023_p1_c8"", ""syllabus_grounding_s_2023_p1_c2"", ""soc795e_p1_c2"", ""syllabus_spp_697_pm_2023_(clean)_p1_c18"", ""webapps2_syllabus_s2022_p2_c1""]","[""130 syllabus_2 S 2023.txt"", ""Syllabus_Grounding_S_2023.txt"", ""soc795E.txt"", ""Syllabus SPP 697 PM 2023 (clean).txt"", ""WebApps2_syllabus_s2022.pdf""]",False,not_found
Q017,factual_extraction,yes,101-f22-syll.txt,"[""webapps2_syllabus_s2022_p2_c1"", ""web_apps_syllabus_2021_p2_c1"", ""eecs_376_foundations_of_cs_fall_2020_p6_c2"", ""eng_204_syllabus_fa_2021_p1_c2"", ""honors_391ah___aa_media_pop_culture___fall_2022_syllabus_p1_c2""]","[""WebApps2_syllabus_s2022.pdf"", ""Web_Apps_Syllabus_2021.pdf"", ""EECS 376_Foundations of CS_Fall 2020.pdf"", ""ENG 204 syllabus_FA 2021.txt"", ""Honors 391AH - AA Media Pop Culture - Fall 2022 Syllabus.txt""]",False,not_found
Q018,factual_extraction,yes,101-f22-syll.txt,"[""syllabus_fall2022_revised2_p1_c2"", ""umass_math3312023_p1_c3"", ""math561&ioe_510_linear_programming_i_winter_2021_p3_c1"", ""eecs_442_computer_vision_winter_2021_p2_c2"", ""eecs_201_computer_science_pragmatics_fall_2020_p2_c1""]","[""syllabus_fall2022-revised2.txt"", ""UMASS-Math3312023.txt"", ""MATH561&IOE 510_Linear Programming I_Winter 2021.pdf"", ""EECS 442_Computer Vision_Winter 2021.pdf"", ""EECS 201_Computer Science Pragmatics_Fall 2020.pdf""]",False,not_found
Q019,factual_extraction,yes,101-f22-syll.txt,"[""web_apps_syllabus_2021_p5_c2"", ""eecs_492_introduction_to_ai_winter_2021_p4_c2"", ""ai_and_media_syllabus_s2022_p2_c2"", ""webapps2_syllabus_s2022_p2_c1"", ""syllabus_spmgt461_dataanalytics_p1_c11""]","[""Web_Apps_Syllabus_2021.pdf"", ""EECS 492_Introduction to AI_Winter 2021.pdf"", ""AI_and_Media_Syllabus_s2022.pdf"", ""WebApps2_syllabus_s2022.pdf"", ""Syllabus_Spmgt461_DataAnalytics.txt""]",False,not_found
Q020,factual_extraction,yes,101-f22-syll.txt,"[""eecs_492_introduction_to_ai_winter_2021_p2_c1"", ""ai_and_media_syllabus_s2022_p2_c2"", ""syllabus._multivariable_calculus_p1_c2"", ""web_apps_syllabus_2021_p5_c2"", ""mdp_(sponsored_project)_2021_cohort_syllabus_p5_c1""]","[""EECS 492_Introduction to AI_Winter 2021.pdf"", ""AI_and_Media_Syllabus_s2022.pdf"", ""Syllabus. Multivariable Calculus.txt"", ""Web_Apps_Syllabus_2021.pdf"", ""MDP (Sponsored Project) 2021 Cohort Syllabus.pdf""]",False,not_found
Q021,rule_understanding,yes,1. Syllabus 2023.txt,"[""1._syllabus_2023_p1_c1"", ""1._syllabus_2023_p1_c3"", ""mgmnt_462__syllabus___spring_2023_p1_c1"", ""syllabus_spp_697_pm_2023_(clean)_p1_c1"", ""syllabus_spp_697_pm_2023_(clean)_p1_c12""]","[""1. Syllabus 2023.txt"", ""1. Syllabus 2023.txt"", ""MGMNT 462_ Syllabus - Spring 2023.txt"", ""Syllabus SPP 697 PM 2023 (clean).txt"", ""Syllabus SPP 697 PM 2023 (clean).txt""]",True,source_match
Q022,rule_understanding,yes,1. Syllabus 2023.txt,[],[],False,not_found
Q023,rule_understanding,yes,1. Syllabus 2023.txt,"[""journal_310_(international_journalism)_syllabus___2022_spring_p1_c10"", ""webapps2_syllabus_s2022_p2_c1"", ""sch_mgmt_652_syllabus___fully_online_p1_c2"", ""syllabus_spmgt461_dataanalytics_p1_c10"", ""biochem_320_syllabus_sp23_2_feb_2023_p1_c10""]","[""JOURNAL 310 (International Journalism) Syllabus - 2022 Spring.txt"", ""WebApps2_syllabus_s2022.pdf"", ""Sch Mgmt 652 Syllabus - Fully OnLine.txt"", ""Syllabus_Spmgt461_DataAnalytics.txt"", ""BIOCHEM 320 Syllabus SP23 2 Feb 2023.txt""]",False,not_found
Q024,rule_understanding,yes,101-f22-syll.txt,"[""web_apps_syllabus_2021_p5_c2"", ""eecs_492_introduction_to_ai_winter_2021_p4_c2"", ""eecs_492_introduction_to_ai_winter_2021_p2_c1"", ""umass_math3312023_p1_c3"", ""eecs_442_computer_vision_winter_2021_p2_c3""]","[""Web_Apps_Syllabus_2021.pdf"", ""EECS 492_Introduction to AI_Winter 2021.pdf"", ""EECS 492_Introduction to AI_Winter 2021.pdf"", ""UMASS-Math3312023.txt"", ""EECS 442_Computer Vision_Winter 2021.pdf""]",False,not_found
Q025,rule_understanding,yes,101-f22-syll.txt,"[""syllabus_ise4100_au22_v3_redacted_p1_c4"", ""webapps2_syllabus_s2022_p2_c1"", ""web_apps_syllabus_2021_p12_c1"", ""psych_397d_syllabus_spring_2023_p1_c2"", ""web_apps_syllabus_2021_p2_c1""]","[""Syllabus_ISE4100_Au22_v3_redacted.txt"", ""WebApps2_syllabus_s2022.pdf"", ""Web_Apps_Syllabus_2021.pdf"", ""PSYCH 397D syllabus Spring 2023.txt"", ""Web_Apps_Syllabus_2021.pdf""]",False,not_found
Q026,rule_understanding,yes,101-f22-syll.txt,"[""101_f22_syll_p1_c1"", ""legal_297bl_syllabus_p1_c9"", ""syllabus_209h_230301_p1_c1"", ""soc795e_p1_c14"", ""umass_math3312023_p1_c1""]","[""101-f22-syll.txt"", ""Legal 297BL Syllabus.txt"", ""Syllabus_209H_230301.txt"", ""soc795E.txt"", ""UMASS-Math3312023.txt""]",True,source_match
Q027,rule_understanding,yes,101-f22-syll.txt,"[""eecs_484_database_management_systems_winter_2021_p5_c1"", ""web_apps_syllabus_2021_p12_c1"", ""eecs_492_introduction_to_ai_winter_2021_p4_c2"", ""ph224_syllabus_spring23_p1_c6"", ""ai_and_media_syllabus_s2022_p2_c2""]","[""EECS 484_Database Management Systems_Winter 2021.pdf"", ""Web_Apps_Syllabus_2021.pdf"", ""EECS 492_Introduction to AI_Winter 2021.pdf"", ""PH224_Syllabus_Spring23.txt"", ""AI_and_Media_Syllabus_s2022.pdf""]",False,not_found
Q028,rule_understanding,yes,101-f22-syll.txt,"[""mie_380_syllabus_f22_p1_c5"", ""mie_302_spring_2022_syllabus_v1_p1_c4"", ""stat_111_syl_spring_2023_p1_c5"", ""mktg_497g_customer_insight_syllabus_s2023_p1_c9"", ""270_syllabus_fall_2022_(1)_p1_c12""]","[""MIE 380 syllabus F22.txt"", ""MIE 302 Spring 2022 Syllabus-v1.txt"", ""stat-111-syl-spring 2023.txt"", ""MKTG 497G Customer Insight Syllabus S2023.txt"", ""270 Syllabus Fall 2022 (1).txt""]",False,not_found
Q029,rule_understanding,yes,101-f22-syll.txt,"[""315_lab_syllabus_22_01_11_p1_c10"", ""syllabus_spmgt461_dataanalytics_p1_c15"", ""101_f22_syll_p1_c5"", ""eng_204_syllabus_fa_2021_p1_c4"", ""eecs_492_introduction_to_ai_winter_2021_p5_c1""]","[""315 Lab Syllabus 22-01-11.txt"", ""Syllabus_Spmgt461_DataAnalytics.txt"", ""101-f22-syll.txt"", ""ENG 204 syllabus_FA 2021.txt"", ""EECS 492_Introduction to AI_Winter 2021.pdf""]",True,source_match
Q030,rule_understanding,yes,101-f22-syll.txt,"[""syllabus_spmgt461_dataanalytics_p1_c15"", ""mie_380_syllabus_f22_p1_c5"", ""mie_302_spring_2022_syllabus_v1_p1_c4"", ""ai_and_media_syllabus_s2022_p3_c1"", ""webapps2_syllabus_s2022_p3_c1""]","[""Syllabus_Spmgt461_DataAnalytics.txt"", ""MIE 380 syllabus F22.txt"", ""MIE 302 Spring 2022 Syllabus-v1.txt"", ""AI_and_Media_Syllabus_s2022.pdf"", ""WebApps2_syllabus_s2022.pdf""]",False,not_found
Q031,rule_understanding,yes,130 syllabus_2 S 2023.txt,"[""130_syllabus_2_s_2023_p1_c1"", ""ai_and_media_syllabus_s2022_p4_c1"", ""syllabus_ise4100_au22_v3_redacted_p1_c5"", ""legal_297bl_syllabus_p1_c6"", ""eecs_482_introduction_to_operating_systems_winter_2021_p5_c1""]","[""130 syllabus_2 S 2023.txt"", ""AI_and_Media_Syllabus_s2022.pdf"", ""Syllabus_ISE4100_Au22_v3_redacted.txt"", ""Legal 297BL Syllabus.txt"", ""EECS 482_Introduction to Operating Systems_Winter 2021.pdf""]",True,source_match
Q032,rule_understanding,yes,130 syllabus_2 S 2023.txt,"[""130_syllabus_2_s_2023_p1_c1"", ""legal_297bl_syllabus_p1_c6"", ""270_syllabus_fall_2022_(1)_p1_c1"", ""music_ed_500ku_syllabus_s23_p1_c5"", ""ai_and_media_syllabus_s2022_p4_c1""]","[""130 syllabus_2 S 2023.txt"", ""Legal 297BL Syllabus.txt"", ""270 Syllabus Fall 2022 (1).txt"", ""MUSIC-ED 500KU Syllabus S23.txt"", ""AI_and_Media_Syllabus_s2022.pdf""]",True,source_match
Q033,rule_understanding,yes,130 syllabus_2 S 2023.txt,"[""130_syllabus_2_s_2023_p1_c1"", ""syllabus._multivariable_calculus_p1_c5"", ""eecs_201_computer_science_pragmatics_fall_2020_p2_c3"", ""ai_and_media_syllabus_s2022_p4_c1"", ""umass_math3312023_p1_c3""]","[""130 syllabus_2 S 2023.txt"", ""Syllabus. Multivariable Calculus.txt"", ""EECS 201_Computer Science Pragmatics_Fall 2020.pdf"", ""AI_and_Media_Syllabus_s2022.pdf"", ""UMASS-Math3312023.txt""]",True,source_match
Q034,exception_handling,yes,130 syllabus_2 S 2023.txt,"[""num_analysis_redacted_p1_c2"", ""2023_chem122_syllabus_p1_c5"", ""cs466_sp21_info_redacted_p1_c3"", ""ai_and_media_syllabus_s2022_p3_c1"", ""legal_297bl_syllabus_p1_c13""]","[""num_analysis_redacted.txt"", ""2023_Chem122_syllabus.txt"", ""cs466_sp21_info_redacted.txt"", ""AI_and_Media_Syllabus_s2022.pdf"", ""Legal 297BL Syllabus.txt""]",False,not_found
Q035,rule_understanding,yes,130 syllabus_2 S 2023.txt,"[""ai_and_media_syllabus_s2022_p4_c1"", ""130_syllabus_2_s_2023_p1_c2"", ""syllabus_ise4100_au22_v3_redacted_p1_c5"", ""130_syllabus_2_s_2023_p1_c1"", ""270_syllabus_fall_2022_(1)_p1_c1""]","[""AI_and_Media_Syllabus_s2022.pdf"", ""130 syllabus_2 S 2023.txt"", ""Syllabus_ISE4100_Au22_v3_redacted.txt"", ""130 syllabus_2 S 2023.txt"", ""270 Syllabus Fall 2022 (1).txt""]",True,source_match
Q036,rule_understanding,yes,130 syllabus_2 S 2023.txt,"[""resecon_213_fall_2022_p1_c2"", ""bdes_syllabus_2021_v1rsb_p1_c1"", ""syllabus_ise4100_au22_v3_redacted_p1_c5"", ""spring_2022_sch_mgmt_697ds_data_science_for_business_syllabus_p1_c1"", ""ai_and_media_syllabus_s2022_p4_c1""]","[""ResEcon-213-Fall-2022.txt"", ""BDES-Syllabus-2021-v1rsb.txt"", ""Syllabus_ISE4100_Au22_v3_redacted.txt"", ""Spring 2022 SCH-MGMT 697DS Data Science for Business Syllabus.txt"", ""AI_and_Media_Syllabus_s2022.pdf""]",False,not_found
Q037,rule_understanding,yes,130 syllabus_2 S 2023.txt,"[""eecs_484_database_management_systems_winter_2021_p5_c1"", ""geog468668syllabusgis_2023_p1_c4"", ""eecs_498_004_introduction_to_nlp_winter_2021_p1_c2"", ""psych_397d_syllabus_spring_2023_p1_c6"", ""webapps2_syllabus_s2022_p6_c1""]","[""EECS 484_Database Management Systems_Winter 2021.pdf"", ""GEOG468668syllabusGIS_2023.txt"", ""EECS 498-004_Introduction to NLP_Winter 2021.pdf"", ""PSYCH 397D syllabus Spring 2023.txt"", ""WebApps2_syllabus_s2022.pdf""]",False,not_found
Q038,rule_understanding,yes,130 syllabus_2 S 2023.txt,"[""270_syllabus_fall_2022_(1)_p1_c2"", ""webapps2_syllabus_s2022_p2_c1"", ""130_syllabus_2_s_2023_p1_c2"", ""mgmnt_462__syllabus___spring_2023_p1_c6"", ""journal_310_(international_journalism)_syllabus___2022_spring_p1_c10""]","[""270 Syllabus Fall 2022 (1).txt"", ""WebApps2_syllabus_s2022.pdf"", ""130 syllabus_2 S 2023.txt"", ""MGMNT 462_ Syllabus - Spring 2023.txt"", ""JOURNAL 310 (International Journalism) Syllabus - 2022 Spring.txt""]",True,source_match
Q039,rule_understanding,yes,130 syllabus_2 S 2023.txt,"[""130_syllabus_2_s_2023_p1_c9"", ""796_syllabus_p1_c2"", ""130_syllabus_2_s_2023_p1_c1"", ""ai_and_media_syllabus_s2022_p4_c1"", ""web_apps_syllabus_2021_p8_c1""]","[""130 syllabus_2 S 2023.txt"", ""796 Syllabus.txt"", ""130 syllabus_2 S 2023.txt"", ""AI_and_Media_Syllabus_s2022.pdf"", ""Web_Apps_Syllabus_2021.pdf""]",True,source_match
Q040,rule_understanding,yes,130 syllabus_2 S 2023.txt,"[""ai_and_media_syllabus_s2022_p4_c1"", ""130_syllabus_2_s_2023_p1_c9"", ""130_syllabus_2_s_2023_p1_c1"", ""130_syllabus_2_s_2023_p1_c2"", ""796_syllabus_p1_c2""]","[""AI_and_Media_Syllabus_s2022.pdf"", ""130 syllabus_2 S 2023.txt"", ""130 syllabus_2 S 2023.txt"", ""130 syllabus_2 S 2023.txt"", ""796 Syllabus.txt""]",True,source_match
